Index,Clothes,Tops,Bottoms,Dresses,Outers,Goods,Accessories,Shoes,Summer,Winter,Mild Seasons
64,1,1,0,0,0,0,0,0,1,0,0
65,1,1,0,0,0,0,0,0,0,1,0
66,1,1,0,0,0,0,0,0,1,0,0
67,1,1,0,0,0,0,0,0,1,0,0
68,1,0,0,0,1,0,0,0,0,1,0
69,1,0,1,0,0,0,0,0,0,0,1
70,1,0,0,1,0,0,0,0,1,0,0
71,1,0,1,0,0,0,0,0,0,0,1
72,1,1,0,0,0,0,0,0,0,0,1
73,1,0,0,1,0,0,0,0,1,0,0
74,1,0,1,0,0,0,0,0,0,0,1
75,1,0,0,0,1,0,0,0,0,1,0
76,1,0,0,0,1,0,0,0,0,1,0
77,1,1,0,0,0,0,0,0,0,0,1
78,1,0,1,0,0,0,0,0,0,0,1
79,0,0,0,0,0,1,0,1,0,1,0
80,1,0,1,0,0,0,0,0,0,0,1
81,1,0,0,1,0,0,0,0,1,0,0
82,0,0,0,0,0,1,0,1,1,0,0
83,0,0,0,0,0,1,0,1,0,0,1
84,0,0,0,0,0,1,0,1,0,1,0
85,0,0,0,0,0,1,0,1,0,0,1
86,1,0,1,0,0,0,0,0,0,0,1
87,0,0,0,0,0,1,0,1,0,0,1
88,0,0,0,0,0,1,0,1,0,1,0
89,0,0,0,0,0,1,0,1,0,1,0
90,0,0,0,0,0,1,0,1,0,1,0
91,1,0,0,1,0,0,0,0,1,0,0
92,1,1,0,0,0,0,0,0,0,1,0
93,0,0,0,0,0,1,0,1,0,1,0
94,1,0,0,1,0,0,0,0,1,0,0
95,1,1,0,0,0,0,0,0,0,0,1
96,1,0,0,0,1,0,0,0,0,1,0
97,1,0,1,0,0,0,0,0,0,0,1
98,1,0,1,0,0,0,0,0,0,0,1
99,0,0,0,0,0,1,1,0,0,0,0
100,0,0,0,0,0,1,1,0,0,0,0
101,1,1,0,0,0,0,0,0,1,0,0
102,1,0,1,0,0,0,0,0,0,0,1
103,1,0,1,0,0,0,0,0,0,0,1
104,1,1,0,0,0,0,0,0,0,0,1
105,0,0,0,0,0,1,1,0,0,0,0
106,1,0,1,0,0,0,0,0,0,0,1
107,0,0,0,0,0,1,0,1,0,1,0
108,0,0,0,0,0,1,0,1,0,0,1
109,0,0,0,0,0,1,1,0,0,0,0
110,0,0,0,0,0,1,1,0,0,0,0
111,0,0,0,0,0,1,0,1,0,1,0
112,1,1,0,0,0,0,0,0,0,0,1
113,1,1,0,0,0,0,0,0,0,0,1
114,1,0,0,1,0,0,0,0,1,0,0
115,1,0,1,0,0,0,0,0,0,0,1
116,0,0,0,0,0,1,0,1,1,0,0
117,1,0,0,0,1,0,0,0,0,1,0
118,1,1,0,0,0,0,0,0,0,0,1
119,0,0,0,0,0,1,0,1,0,0,1
120,0,0,0,0,0,1,0,1,1,0,0
121,0,0,0,0,0,1,0,1,1,0,0
122,0,0,0,0,0,1,0,1,0,1,0
123,1,1,0,0,0,0,0,0,0,1,0
124,1,1,0,0,0,0,0,0,0,1,0
125,1,1,0,0,0,0,0,0,0,1,0
126,0,0,0,0,0,1,0,1,0,0,1
127,1,1,0,0,0,0,0,0,0,0,1
128,1,0,0,0,1,0,0,0,0,1,0
129,1,0,1,0,0,0,0,0,0,0,1
130,0,0,0,0,0,1,1,0,0,0,0
131,0,0,0,0,0,1,0,1,0,0,1
132,0,0,0,0,0,1,0,1,0,0,1
133,0,0,0,0,0,1,0,1,1,0,0
134,1,0,0,0,1,0,0,0,0,1,0
135,1,1,0,0,0,0,0,0,0,1,0
136,0,0,0,0,0,1,0,1,0,1,0
137,1,0,1,0,0,0,0,0,0,0,1
138,0,0,0,0,0,1,0,1,0,0,1
139,1,0,0,0,1,0,0,0,0,1,0
140,1,1,0,0,0,0,0,0,0,0,1
141,0,0,0,0,0,1,0,1,0,1,0
142,0,0,0,0,0,1,0,1,0,0,1
143,1,0,1,0,0,0,0,0,0,0,1
144,0,0,0,0,0,1,1,0,0,0,0
145,0,0,0,0,0,1,0,1,0,0,1
146,1,0,1,0,0,0,0,0,0,0,1
147,1,1,0,0,0,0,0,0,0,1,0
148,0,0,0,0,0,1,1,0,0,0,0
149,1,1,0,0,0,0,0,0,1,0,0
150,0,0,0,0,0,1,0,1,0,1,0
151,1,0,1,0,0,0,0,0,0,0,1
152,0,0,0,0,0,1,1,0,0,0,0
153,0,0,0,0,0,1,0,1,0,0,1
154,1,1,0,0,0,0,0,0,1,0,0
155,0,0,0,0,0,1,0,1,1,0,0
156,0,0,0,0,0,1,1,0,0,0,0
157,1,1,0,0,0,0,0,0,0,0,1
158,0,0,0,0,0,1,0,1,0,0,1
159,1,1,0,0,0,0,0,0,0,1,0
160,1,1,0,0,0,0,0,0,1,0,0
161,0,0,0,0,0,1,1,0,0,0,0
162,0,0,0,0,0,1,0,1,0,0,1
163,1,0,1,0,0,0,0,0,0,0,1
164,1,1,0,0,0,0,0,0,0,0,1
165,1,1,0,0,0,0,0,0,0,1,0
166,1,0,1,0,0,0,0,0,0,0,1
167,0,0,0,0,0,1,0,1,0,1,0
168,1,1,0,0,0,0,0,0,0,0,1
169,1,1,0,0,0,0,0,0,1,0,0
170,1,0,1,0,0,0,0,0,0,0,1
171,1,1,0,0,0,0,0,0,1,0,0
172,0,0,0,0,0,1,0,1,1,0,0
173,0,0,0,0,0,1,0,1,1,0,0
174,1,0,1,0,0,0,0,0,0,0,1
175,0,0,0,0,0,1,0,1,0,0,1
176,1,1,0,0,0,0,0,0,1,0,0
177,0,0,0,0,0,1,0,1,1,0,0
178,0,0,0,0,0,1,1,0,0,0,0
179,1,0,0,0,1,0,0,0,0,1,0
180,1,1,0,0,0,0,0,0,1,0,0
181,1,0,0,0,1,0,0,0,0,1,0
182,1,1,0,0,0,0,0,0,1,0,0
183,1,1,0,0,0,0,0,0,0,0,1
184,1,1,0,0,0,0,0,0,0,0,1
185,1,0,0,0,1,0,0,0,0,1,0
186,1,1,0,0,0,0,0,0,1,0,0
187,1,1,0,0,0,0,0,0,1,0,0
188,1,0,0,0,1,0,0,0,0,1,0
189,0,0,0,0,0,1,0,1,0,0,1
190,1,0,0,1,0,0,0,0,1,0,0
191,1,1,0,0,0,0,0,0,1,0,0
192,0,0,0,0,0,1,0,1,1,0,0
193,0,0,0,0,0,1,1,0,0,0,0
194,1,0,0,0,1,0,0,0,0,1,0
195,1,0,1,0,0,0,0,0,0,0,1
196,1,0,1,0,0,0,0,0,0,0,1
197,1,1,0,0,0,0,0,0,0,1,0
198,0,0,0,0,0,1,0,1,0,1,0
199,1,1,0,0,0,0,0,0,0,1,0
200,0,0,0,0,0,1,1,0,0,0,0
201,0,0,0,0,0,1,0,1,1,0,0
202,1,1,0,0,0,0,0,0,1,0,0
203,1,1,0,0,0,0,0,0,0,0,1
204,1,0,0,1,0,0,0,0,1,0,0
205,1,0,0,0,1,0,0,0,0,1,0
206,1,1,0,0,0,0,0,0,0,0,1
207,1,1,0,0,0,0,0,0,1,0,0
208,0,0,0,0,0,1,0,1,0,1,0
209,1,0,1,0,0,0,0,0,0,0,1
210,0,0,0,0,0,1,0,1,0,0,1
211,1,0,0,1,0,0,0,0,1,0,0
212,0,0,0,0,0,1,1,0,0,0,0
213,0,0,0,0,0,1,0,1,1,0,0
214,0,0,0,0,0,1,1,0,0,0,0
215,1,0,0,1,0,0,0,0,1,0,0
216,0,0,0,0,0,1,1,0,0,0,0
217,0,0,0,0,0,1,0,1,1,0,0
218,1,1,0,0,0,0,0,0,0,1,0
219,1,1,0,0,0,0,0,0,1,0,0
220,0,0,0,0,0,1,1,0,0,0,0
221,0,0,0,0,0,1,0,1,0,0,1
222,1,1,0,0,0,0,0,0,1,0,0
223,1,0,0,1,0,0,0,0,1,0,0
224,0,0,0,0,0,1,0,1,1,0,0
225,1,1,0,0,0,0,0,0,1,0,0
226,1,1,0,0,0,0,0,0,0,0,1
227,0,0,0,0,0,1,0,1,1,0,0
228,1,1,0,0,0,0,0,0,0,1,0
229,0,0,0,0,0,1,0,1,0,0,1
230,0,0,0,0,0,1,0,1,1,0,0
231,1,1,0,0,0,0,0,0,0,1,0
232,1,1,0,0,0,0,0,0,0,0,1
233,0,0,0,0,0,1,1,0,0,0,0
234,1,1,0,0,0,0,0,0,0,1,0
235,1,1,0,0,0,0,0,0,0,0,1
236,0,0,0,0,0,1,1,0,0,0,0
237,1,1,0,0,0,0,0,0,1,0,0
238,1,0,0,0,1,0,0,0,0,1,0
239,1,0,0,0,1,0,0,0,0,1,0
240,1,0,0,0,1,0,0,0,0,1,0
241,1,0,0,0,1,0,0,0,0,1,0
242,1,0,0,0,1,0,0,0,0,1,0
243,1,0,1,0,0,0,0,0,0,0,1
244,0,0,0,0,0,1,0,1,1,0,0
245,1,1,0,0,0,0,0,0,0,0,1
246,0,0,0,0,0,1,0,1,1,0,0
247,1,0,0,1,0,0,0,0,1,0,0
248,1,0,0,1,0,0,0,0,1,0,0
249,0,0,0,0,0,1,0,1,0,0,1
250,1,0,0,1,0,0,0,0,1,0,0
251,1,0,0,1,0,0,0,0,1,0,0
252,1,1,0,0,0,0,0,0,0,0,1
253,1,1,0,0,0,0,0,0,0,1,0
254,0,0,0,0,0,1,1,0,0,0,0
255,1,0,0,0,1,0,0,0,0,1,0
256,1,1,0,0,0,0,0,0,0,0,1
257,0,0,0,0,0,1,0,1,1,0,0
258,0,0,0,0,0,1,0,1,0,1,0
259,1,0,0,1,0,0,0,0,1,0,0
260,1,1,0,0,0,0,0,0,0,1,0
261,1,0,0,1,0,0,0,0,1,0,0
262,1,1,0,0,0,0,0,0,0,1,0
263,1,0,0,0,1,0,0,0,0,1,0
264,1,0,0,0,1,0,0,0,0,1,0
265,0,0,0,0,0,1,1,0,0,0,0
266,1,1,0,0,0,0,0,0,0,1,0
267,0,0,0,0,0,1,0,1,1,0,0
268,1,0,0,1,0,0,0,0,1,0,0
269,1,1,0,0,0,0,0,0,1,0,0
270,0,0,0,0,0,1,0,1,0,0,1
271,1,1,0,0,0,0,0,0,0,1,0
272,1,1,0,0,0,0,0,0,1,0,0
273,1,1,0,0,0,0,0,0,0,1,0
274,0,0,0,0,0,1,0,1,1,0,0
275,0,0,0,0,0,1,0,1,0,0,1
276,1,1,0,0,0,0,0,0,0,1,0
277,1,0,0,1,0,0,0,0,1,0,0
278,1,0,1,0,0,0,0,0,0,0,1
279,0,0,0,0,0,1,0,1,0,0,1
280,1,1,0,0,0,0,0,0,0,0,1
281,1,1,0,0,0,0,0,0,0,1,0
282,0,0,0,0,0,1,0,1,0,1,0
283,1,0,1,0,0,0,0,0,0,0,1
284,0,0,0,0,0,1,0,1,0,1,0
285,1,0,1,0,0,0,0,0,0,0,1
286,1,0,1,0,0,0,0,0,0,0,1
287,0,0,0,0,0,1,1,0,0,0,0
288,0,0,0,0,0,1,0,1,0,0,1
289,0,0,0,0,0,1,1,0,0,0,0
290,1,0,0,0,1,0,0,0,0,1,0
291,1,1,0,0,0,0,0,0,0,1,0
292,1,1,0,0,0,0,0,0,0,0,1
293,1,1,0,0,0,0,0,0,0,0,1
294,0,0,0,0,0,1,0,1,0,0,1
295,0,0,0,0,0,1,0,1,0,1,0
296,1,0,0,0,1,0,0,0,0,1,0
297,1,1,0,0,0,0,0,0,0,0,1
298,1,0,1,0,0,0,0,0,0,0,1
299,0,0,0,0,0,1,0,1,0,1,0
300,0,0,0,0,0,1,0,1,1,0,0
301,1,1,0,0,0,0,0,0,0,0,1
302,1,1,0,0,0,0,0,0,1,0,0
303,0,0,0,0,0,1,0,1,1,0,0
304,1,1,0,0,0,0,0,0,1,0,0
305,1,0,1,0,0,0,0,0,0,0,1
306,1,1,0,0,0,0,0,0,0,0,1
307,1,0,1,0,0,0,0,0,0,0,1
308,1,0,1,0,0,0,0,0,0,0,1
309,1,1,0,0,0,0,0,0,0,0,1
310,0,0,0,0,0,1,0,1,0,0,1
311,1,0,0,0,1,0,0,0,0,1,0
312,1,0,0,0,1,0,0,0,0,1,0
313,0,0,0,0,0,1,1,0,0,0,0
314,1,1,0,0,0,0,0,0,0,0,1
315,1,0,0,0,1,0,0,0,0,1,0
316,1,1,0,0,0,0,0,0,0,0,1
317,0,0,0,0,0,1,0,1,0,1,0
318,1,0,0,1,0,0,0,0,1,0,0
319,0,0,0,0,0,1,0,1,0,0,1
320,0,0,0,0,0,1,0,1,1,0,0
321,1,1,0,0,0,0,0,0,1,0,0
322,0,0,0,0,0,1,1,0,0,0,0
323,1,0,0,1,0,0,0,0,1,0,0
324,1,0,0,0,1,0,0,0,0,1,0
325,1,1,0,0,0,0,0,0,1,0,0
326,1,0,0,1,0,0,0,0,1,0,0
327,1,0,0,1,0,0,0,0,1,0,0
328,1,1,0,0,0,0,0,0,0,1,0
329,1,1,0,0,0,0,0,0,1,0,0
330,1,0,1,0,0,0,0,0,0,0,1
331,1,1,0,0,0,0,0,0,1,0,0
332,1,0,0,1,0,0,0,0,1,0,0
333,0,0,0,0,0,1,1,0,0,0,0
334,1,0,0,1,0,0,0,0,1,0,0
335,0,0,0,0,0,1,0,1,0,1,0
336,1,0,1,0,0,0,0,0,0,0,1
337,0,0,0,0,0,1,0,1,0,1,0
338,1,1,0,0,0,0,0,0,1,0,0
339,1,0,0,0,1,0,0,0,0,1,0
340,0,0,0,0,0,1,0,1,0,0,1
341,0,0,0,0,0,1,0,1,0,0,1
342,0,0,0,0,0,1,1,0,0,0,0
343,0,0,0,0,0,1,0,1,1,0,0
344,1,1,0,0,0,0,0,0,0,0,1
345,0,0,0,0,0,1,0,1,1,0,0
346,1,1,0,0,0,0,0,0,0,0,1
347,0,0,0,0,0,1,1,0,0,0,0
348,1,1,0,0,0,0,0,0,0,1,0
349,0,0,0,0,0,1,0,1,1,0,0
350,1,1,0,0,0,0,0,0,0,1,0
351,1,0,0,1,0,0,0,0,1,0,0
352,1,0,1,0,0,0,0,0,0,0,1
353,1,1,0,0,0,0,0,0,0,0,1
354,1,1,0,0,0,0,0,0,1,0,0
355,0,0,0,0,0,1,0,1,0,0,1
356,0,0,0,0,0,1,1,0,0,0,0
357,0,0,0,0,0,1,0,1,0,0,1
358,0,0,0,0,0,1,1,0,0,0,0
359,1,0,1,0,0,0,0,0,0,0,1
360,0,0,0,0,0,1,0,1,0,1,0
361,1,1,0,0,0,0,0,0,0,0,1
362,1,0,0,0,1,0,0,0,0,1,0
363,0,0,0,0,0,1,0,1,1,0,0
364,0,0,0,0,0,1,0,1,0,0,1
365,1,0,1,0,0,0,0,0,0,0,1
366,0,0,0,0,0,1,0,1,0,0,1
367,1,1,0,0,0,0,0,0,0,0,1
368,1,1,0,0,0,0,0,0,0,0,1
369,0,0,0,0,0,1,0,1,0,0,1
370,1,0,0,1,0,0,0,0,1,0,0
371,0,0,0,0,0,1,0,1,1,0,0
372,0,0,0,0,0,1,1,0,0,0,0
373,0,0,0,0,0,1,0,1,0,0,1
374,1,0,0,1,0,0,0,0,1,0,0
375,1,0,0,1,0,0,0,0,1,0,0
376,0,0,0,0,0,1,0,1,0,1,0
377,1,1,0,0,0,0,0,0,1,0,0
378,1,0,0,1,0,0,0,0,1,0,0
379,1,0,1,0,0,0,0,0,0,0,1
380,1,1,0,0,0,0,0,0,0,0,1
381,1,0,0,0,1,0,0,0,0,1,0
382,0,0,0,0,0,1,0,1,0,0,1
383,1,1,0,0,0,0,0,0,1,0,0
384,0,0,0,0,0,1,0,1,1,0,0
385,1,0,1,0,0,0,0,0,0,0,1
386,0,0,0,0,0,1,0,1,1,0,0
387,1,0,0,0,1,0,0,0,0,1,0
388,1,0,0,0,1,0,0,0,0,1,0
389,0,0,0,0,0,1,0,1,1,0,0
390,0,0,0,0,0,1,0,1,0,1,0
391,1,0,1,0,0,0,0,0,0,0,1
392,1,1,0,0,0,0,0,0,1,0,0
393,0,0,0,0,0,1,0,1,1,0,0
394,0,0,0,0,0,1,1,0,0,0,0
395,1,0,0,1,0,0,0,0,1,0,0
396,1,0,0,0,1,0,0,0,0,1,0
397,1,0,0,0,1,0,0,0,0,1,0
398,1,1,0,0,0,0,0,0,0,1,0
399,1,0,0,0,1,0,0,0,0,1,0
400,1,1,0,0,0,0,0,0,0,1,0
401,0,0,0,0,0,1,0,1,1,0,0
402,1,1,0,0,0,0,0,0,0,0,1
403,0,0,0,0,0,1,0,1,0,0,1
404,1,1,0,0,0,0,0,0,0,1,0
405,1,1,0,0,0,0,0,0,0,1,0
406,0,0,0,0,0,1,0,1,1,0,0
407,1,0,0,1,0,0,0,0,1,0,0
408,0,0,0,0,0,1,1,0,0,0,0
409,0,0,0,0,0,1,1,0,0,0,0
410,1,1,0,0,0,0,0,0,0,0,1
411,0,0,0,0,0,1,1,0,0,0,0
412,1,0,0,0,1,0,0,0,0,1,0
413,1,0,0,0,1,0,0,0,0,1,0
414,1,0,1,0,0,0,0,0,0,0,1
415,1,1,0,0,0,0,0,0,1,0,0
416,1,1,0,0,0,0,0,0,0,1,0
417,0,0,0,0,0,1,0,1,0,0,1
418,1,0,1,0,0,0,0,0,0,0,1
419,1,0,1,0,0,0,0,0,0,0,1
420,0,0,0,0,0,1,1,0,0,0,0
421,0,0,0,0,0,1,1,0,0,0,0
422,1,1,0,0,0,0,0,0,0,1,0
423,0,0,0,0,0,1,0,1,0,0,1
424,0,0,0,0,0,1,0,1,0,1,0
425,0,0,0,0,0,1,0,1,0,0,1
426,1,0,0,0,1,0,0,0,0,1,0
427,1,0,1,0,0,0,0,0,0,0,1
428,1,1,0,0,0,0,0,0,0,1,0
429,1,1,0,0,0,0,0,0,1,0,0
430,0,0,0,0,0,1,1,0,0,0,0
431,0,0,0,0,0,1,0,1,0,1,0
432,1,0,1,0,0,0,0,0,0,0,1
433,1,0,0,0,1,0,0,0,0,1,0
434,0,0,0,0,0,1,0,1,0,1,0
435,0,0,0,0,0,1,0,1,1,0,0
436,1,1,0,0,0,0,0,0,0,0,1
437,0,0,0,0,0,1,0,1,0,0,1
438,1,1,0,0,0,0,0,0,1,0,0
439,1,0,0,1,0,0,0,0,1,0,0
440,1,1,0,0,0,0,0,0,0,1,0
441,1,1,0,0,0,0,0,0,1,0,0
442,1,0,0,0,1,0,0,0,0,1,0
443,1,0,1,0,0,0,0,0,0,0,1
444,1,1,0,0,0,0,0,0,1,0,0
445,1,1,0,0,0,0,0,0,1,0,0
446,0,0,0,0,0,1,1,0,0,0,0
447,0,0,0,0,0,1,0,1,0,0,1
448,1,1,0,0,0,0,0,0,1,0,0
449,1,1,0,0,0,0,0,0,0,1,0
450,0,0,0,0,0,1,0,1,0,1,0
451,0,0,0,0,0,1,0,1,0,1,0
452,1,0,1,0,0,0,0,0,0,0,1
453,1,0,0,1,0,0,0,0,1,0,0
454,0,0,0,0,0,1,1,0,0,0,0
455,1,0,0,1,0,0,0,0,1,0,0
456,1,0,1,0,0,0,0,0,0,0,1
457,1,0,0,0,1,0,0,0,0,1,0
458,0,0,0,0,0,1,1,0,0,0,0
459,0,0,0,0,0,1,0,1,1,0,0
460,1,0,1,0,0,0,0,0,0,0,1
461,0,0,0,0,0,1,1,0,0,0,0
462,1,1,0,0,0,0,0,0,0,1,0
463,1,0,0,0,1,0,0,0,0,1,0
464,1,0,0,0,1,0,0,0,0,1,0
465,0,0,0,0,0,1,0,1,0,1,0
466,0,0,0,0,0,1,0,1,1,0,0
467,0,0,0,0,0,1,0,1,1,0,0
468,1,0,0,0,1,0,0,0,0,1,0
469,0,0,0,0,0,1,0,1,1,0,0
470,1,1,0,0,0,0,0,0,0,0,1
471,1,0,0,1,0,0,0,0,1,0,0
472,0,0,0,0,0,1,0,1,0,0,1
473,1,0,0,0,1,0,0,0,0,1,0
474,0,0,0,0,0,1,0,1,0,1,0
475,0,0,0,0,0,1,0,1,1,0,0
476,0,0,0,0,0,1,1,0,0,0,0
477,0,0,0,0,0,1,0,1,0,1,0
478,1,0,0,1,0,0,0,0,1,0,0
479,0,0,0,0,0,1,0,1,0,1,0
480,1,1,0,0,0,0,0,0,0,0,1
481,1,0,0,0,1,0,0,0,0,1,0
482,0,0,0,0,0,1,0,1,0,0,1
483,1,1,0,0,0,0,0,0,0,1,0
484,1,1,0,0,0,0,0,0,0,1,0
485,1,1,0,0,0,0,0,0,0,0,1
486,1,0,0,0,1,0,0,0,0,1,0
487,0,0,0,0,0,1,1,0,0,0,0
488,1,0,0,1,0,0,0,0,1,0,0
489,1,1,0,0,0,0,0,0,1,0,0
490,1,1,0,0,0,0,0,0,0,1,0
491,0,0,0,0,0,1,1,0,0,0,0
492,0,0,0,0,0,1,0,1,0,1,0
493,1,1,0,0,0,0,0,0,1,0,0
494,0,0,0,0,0,1,1,0,0,0,0
495,1,1,0,0,0,0,0,0,0,0,1
496,1,0,0,1,0,0,0,0,1,0,0
497,0,0,0,0,0,1,0,1,0,1,0
498,1,0,1,0,0,0,0,0,0,0,1
499,1,1,0,0,0,0,0,0,0,0,1
500,1,0,0,1,0,0,0,0,1,0,0
501,1,1,0,0,0,0,0,0,0,1,0
502,1,1,0,0,0,0,0,0,0,0,1
503,1,0,1,0,0,0,0,0,0,0,1
504,1,1,0,0,0,0,0,0,1,0,0
505,1,1,0,0,0,0,0,0,0,1,0
506,1,1,0,0,0,0,0,0,0,0,1
507,1,1,0,0,0,0,0,0,0,1,0
508,1,0,0,1,0,0,0,0,1,0,0
509,1,0,0,1,0,0,0,0,1,0,0
510,0,0,0,0,0,1,0,1,0,1,0
511,1,0,1,0,0,0,0,0,0,0,1
512,0,0,0,0,0,1,0,1,0,0,1
513,0,0,0,0,0,1,0,1,0,1,0
514,1,0,1,0,0,0,0,0,0,0,1
515,1,0,1,0,0,0,0,0,0,0,1
516,1,1,0,0,0,0,0,0,1,0,0
517,1,0,1,0,0,0,0,0,0,0,1
518,0,0,0,0,0,1,0,1,0,0,1
519,1,1,0,0,0,0,0,0,1,0,0
520,0,0,0,0,0,1,1,0,0,0,0
521,0,0,0,0,0,1,0,1,1,0,0
522,1,1,0,0,0,0,0,0,1,0,0
523,1,1,0,0,0,0,0,0,0,0,1
524,1,1,0,0,0,0,0,0,1,0,0
525,1,0,1,0,0,0,0,0,0,0,1
526,1,1,0,0,0,0,0,0,0,0,1
527,1,1,0,0,0,0,0,0,0,0,1
528,0,0,0,0,0,1,1,0,0,0,0
529,0,0,0,0,0,1,0,1,0,0,1
530,1,1,0,0,0,0,0,0,1,0,0
531,0,0,0,0,0,1,0,1,0,1,0
532,0,0,0,0,0,1,0,1,0,1,0
533,0,0,0,0,0,1,0,1,0,1,0
534,0,0,0,0,0,1,0,1,0,0,1
535,1,0,0,0,1,0,0,0,0,1,0
536,1,0,0,1,0,0,0,0,1,0,0
537,0,0,0,0,0,1,0,1,0,1,0
538,0,0,0,0,0,1,0,1,1,0,0
539,0,0,0,0,0,1,0,1,0,1,0
540,1,0,1,0,0,0,0,0,0,0,1
541,1,0,0,0,1,0,0,0,0,1,0
542,1,0,1,0,0,0,0,0,0,0,1
543,1,1,0,0,0,0,0,0,0,0,1
544,1,1,0,0,0,0,0,0,0,1,0
545,1,1,0,0,0,0,0,0,0,1,0
546,1,1,0,0,0,0,0,0,0,1,0
547,0,0,0,0,0,1,0,1,0,0,1
548,0,0,0,0,0,1,0,1,0,0,1
549,1,1,0,0,0,0,0,0,0,0,1
550,1,0,0,1,0,0,0,0,1,0,0
551,0,0,0,0,0,1,0,1,0,0,1
552,0,0,0,0,0,1,0,1,1,0,0
553,0,0,0,0,0,1,1,0,0,0,0
554,1,1,0,0,0,0,0,0,0,0,1
555,1,0,0,0,1,0,0,0,0,1,0
556,0,0,0,0,0,1,1,0,0,0,0
557,1,0,0,0,1,0,0,0,0,1,0
558,0,0,0,0,0,1,0,1,0,0,1
559,0,0,0,0,0,1,1,0,0,0,0
560,1,1,0,0,0,0,0,0,0,0,1
561,0,0,0,0,0,1,0,1,1,0,0
562,0,0,0,0,0,1,0,1,0,1,0
563,0,0,0,0,0,1,0,1,0,1,0
564,1,1,0,0,0,0,0,0,1,0,0
565,1,1,0,0,0,0,0,0,1,0,0
566,1,1,0,0,0,0,0,0,0,1,0
567,1,0,0,0,1,0,0,0,0,1,0
568,1,0,0,1,0,0,0,0,1,0,0
569,0,0,0,0,0,1,0,1,0,0,1
570,0,0,0,0,0,1,0,1,0,1,0
571,1,0,0,1,0,0,0,0,1,0,0
572,1,0,1,0,0,0,0,0,0,0,1
573,0,0,0,0,0,1,0,1,0,1,0
574,1,1,0,0,0,0,0,0,0,1,0
575,0,0,0,0,0,1,0,1,0,0,1
576,0,0,0,0,0,1,0,1,1,0,0
577,0,0,0,0,0,1,0,1,1,0,0
